Number_of_Vehicles,Engine_CC_Mean,Speed_limit,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Urban_or_Rural_Area,Day_of_Week,Hour,Accident_Severity
0,2967.0,40.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
0,0.0,60.0,Fine no high winds,Wet or damp,Daylight,Rural,Tuesday,0,Serious
0,1996.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Slight
0,0.0,60.0,Raining no high winds,Wet or damp,Daylight,Rural,Saturday,0,Slight
0,683.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,2597.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Saturday,0,Fatal
0,0.0,60.0,Fine no high winds,Dry,Darkness - no lighting,Rural,Thursday,0,Slight
0,0.0,60.0,Fine no high winds,Dry,Darkness - lights lit,Rural,Friday,0,Serious
0,1275.0,60.0,Raining no high winds,Wet or damp,Daylight,Rural,Monday,0,Slight
0,1769.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,1834.0,40.0,Fine no high winds,Dry,Daylight,Rural,Thursday,0,Slight
0,8268.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,0.0,40.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Sunday,0,Serious
0,1360.0,30.0,Fine no high winds,Dry,Darkness - lights lit,Urban,Thursday,0,Serious
0,7300.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Monday,0,Serious
0,5000.0,40.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,5883.0,30.0,Fine no high winds,Dry,Daylight,Urban,Friday,0,Slight
0,11967.0,30.0,Fine no high winds,Dry,Daylight,Urban,Thursday,0,Slight
0,2033.0,70.0,Fine no high winds,Dry,Daylight,Rural,Tuesday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Rural,Friday,0,Slight
0,1968.0,30.0,Raining no high winds,Wet or damp,Darkness - lights lit,Urban,Saturday,0,Slight
0,0.0,30.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Serious
0,0.0,60.0,Fine no high winds,Wet or damp,Darkness - no lighting,Rural,Sunday,0,Slight
0,2987.0,60.0,Fine no high winds,Dry,Daylight,Urban,Saturday,0,Slight
0,124.0,30.0,Fine no high winds,Wet or damp,Darkness - lights lit,Urban,Saturday,0,Slight
